,geo_id,lat,lng
0,0,1.335264,103.964659
2,1,1.281391,103.844348
4,2,1.282659,103.845268
6,3,1.28897,103.846958
9,4,1.295548,103.852686
10,5,1.390181,103.986199
14,6,1.288553,103.837152
17,7,1.302369,103.836164
20,8,1.306821,103.827714
23,9,1.312886,103.825948
25,10,1.319991,103.852526
28,11,1.273906,103.844754
29,12,1.288972,103.836636
30,13,1.292013,103.85028
32,14,1.298364,103.854866
33,15,1.29139,103.844912
34,16,1.298386,103.849289
35,17,1.288915,103.845779
36,18,1.310801,103.855687
37,19,1.301838,103.839098
38,20,1.301884,103.839104
41,21,1.275121,103.843491
42,22,1.307516,103.827931
43,23,1.303936,103.823763
44,24,1.307077,103.835531
45,25,1.300354,103.860324
46,26,1.29495,103.854079
47,27,1.306766,103.832345
48,28,1.311895,103.8365
49,29,1.305313,103.832497
50,30,1.292366,103.85892
51,31,1.290806,103.86009
52,32,1.293344,103.858835
53,33,1.293209,103.853428
54,34,1.308709,103.834077
59,35,1.300413,103.842167
60,36,1.257147,103.810029
61,37,1.304642,103.828568
62,38,1.306542,103.832932
63,39,1.290508,103.834903
73,40,1.297983,103.848032
78,41,1.255231,103.814004
79,42,1.376339,103.953667
80,43,1.311391,103.826542
81,44,1.286279,103.852837
84,45,1.289028,103.834643
85,46,1.29768,103.851972
86,47,1.305672,103.825865
87,48,1.254372,103.814644
91,49,1.289637,103.844045
92,50,1.285991,103.849634
93,51,1.306165,103.828161
94,52,1.303162,103.836229
95,53,1.29323,103.858223
96,54,1.285829,103.850069
97,55,1.291117,103.834866
100,56,1.304637,103.830832
103,57,1.289926,103.846378
107,58,1.293406,103.853337
108,59,1.28995,103.84489
109,60,1.290227,103.846174
111,61,1.291066,103.835277
115,62,1.290484,103.845327
118,63,1.306123,103.811789
122,64,1.29042,103.845466
123,65,1.294991,103.852335
124,66,1.28942,103.848955
127,67,1.279636,103.844227
129,68,1.289167,103.846577
133,69,1.306442,103.811418
136,70,1.285803,103.849181
141,71,1.304852,103.813557
143,72,1.290054,103.856406
145,73,1.300491,103.858979
147,74,1.283448,103.848352
154,75,1.290141,103.850399
155,76,1.388744,103.987323
156,77,1.310974,103.795135
160,78,1.320689,103.706732
161,79,1.403878,103.788786
