,geo_id,lat,lng
1,0,35.69071166859883,139.69111919403076
3,1,35.67227129373131,139.75871086120603
5,2,35.68704310565643,139.6988707780838
7,3,35.670580269104704,139.72784934488865
8,4,35.690062,139.694569
9,5,35.6926940165951,139.69108700752258
10,6,35.668126851805255,139.74106192588806
11,7,35.68039394998196,139.73459243774414
14,8,35.68607583173909,139.76199388504028
18,9,35.68557476181027,139.6906390786171
22,10,35.65301696037888,139.76220790066373
23,11,35.68235476778513,139.7867774963379
27,12,35.6415685555734,139.71532881259918
34,13,35.66686735205888,139.7439479827881
35,14,35.66622109069786,139.7312371741441
36,15,35.6746828756766,139.76072709524502
37,16,35.65963674990139,139.72847308249928
46,17,35.71094618483877,139.79748018085957
62,18,35.67180064238771,139.76146817207336
69,19,35.702303654913,139.7694445901454
70,20,35.66016312329013,139.69747334718704
71,21,35.6584207815346,139.6949815750122
76,22,35.67818034664883,139.76476728916168
81,23,35.64196963276697,139.82507944107056
85,24,35.709988662063665,139.66780754713488
92,25,35.646347,139.66987
96,26,35.52780400992709,139.69726180868528
104,27,35.662015,139.73477
108,28,35.6470526757983,139.70242202281952
112,29,35.65900483528946,139.69533026218414
116,30,35.662430616822235,139.69790518283844
118,31,35.6941317,139.701244
119,32,35.642094624363,139.67201909037715
121,33,35.71472743702163,139.79673385620117
122,34,35.62289444016655,139.74725246429443
123,35,35.64241866245378,139.71391797065735
124,36,35.7150366805238,139.79742050170898
126,37,35.7293476794105,139.71816658973694
127,38,35.71406103497294,139.77407455444336
128,39,35.71230135833511,139.80398654937744
130,40,35.68365541701122,139.7850662469864
131,41,35.67178321080316,139.68871593475342
134,42,35.654680992821085,139.7585391998291
135,43,35.69080269423021,139.70027922656513
136,44,35.68137872227962,139.76608157157898
137,45,35.68261620651813,139.76433277130127
139,46,35.66065252989456,139.7292948425235
147,47,35.660473668016515,139.72926020622253
151,48,35.655134309871,139.79300022125244
153,49,35.67056082173885,139.7080929461413
183,50,35.66069856578814,139.7295187202376
188,51,35.66006723555166,139.69597533345222
189,52,35.67715631645931,139.7685357928276
190,53,35.6666581598653,139.74133014678955
191,54,35.649070981401835,139.71064031124115
192,55,35.66120236169291,139.71594783165523
194,56,35.66066980090567,139.69528198242188
195,57,35.66080055589748,139.6952927112579
196,58,35.66099015025527,139.69756186008453
198,59,35.69533416620789,139.70262050628662
204,60,35.662472021679726,139.69788640737534
205,61,35.66942388687327,139.70630926865937
207,62,35.69633182375299,139.70069736242294
214,63,35.73169485589919,139.71287727355957
217,64,35.6781683633928,139.76818710565567
223,65,35.68979,139.70171
228,66,35.66775641276613,139.70648288726807
234,67,35.670136,139.76401168
239,68,35.663759919947324,139.7105222940445
240,69,35.65571818069579,139.7391574091406
246,70,35.687417812220446,139.70212697982788
251,71,35.65958452621023,139.6987098455429
258,72,35.647502766724706,139.71008509397507
259,73,35.700664706998516,139.7716694307898
261,74,35.70537552095303,139.64986145496368
262,75,35.658509,139.695591
267,76,35.67278116288847,139.7240298986435
272,77,35.73736872779667,139.6758198738098
273,78,35.64326004138373,139.6986722946167
274,79,35.604373,139.683963
275,80,35.59974085378926,139.6102237701416
